model,accuracy,precision,recall,f1,mcc,true_positives,true_negatives,false_positives,false_negatives,specificity,fpr,fnr,roc_auc,pr_auc
logistic_regression,0.9901345291479821,0.9726027397260274,0.9530201342281879,0.9627118644067797,0.9570935186585712,142,962,4,7,0.9958592132505176,0.004140786749482402,0.04697986577181208,0.9964775522114302,0.9854788695728074
xgboost,0.989237668161435,1.0,0.9194630872483222,0.958041958041958,0.9529854834028498,137,966,0,12,1.0,0.0,0.08053691275167785,0.9921283365987188,0.9772732805978805
random_forest,0.9883408071748879,1.0,0.912751677852349,0.9543859649122807,0.9490160060719551,136,966,0,13,1.0,0.0,0.087248322147651,0.9911278780552197,0.975689950891582
naive_bayes,0.9865470852017937,0.958904109589041,0.9395973154362416,0.9491525423728814,0.9414661862823952,140,960,6,9,0.9937888198757764,0.006211180124223602,0.06040268456375839,0.9892381230286104,0.9766293823515825
